"line_id","country_name","iso_code","vaccine_policy"
2852,"Afghanistan","AFG","not required"
5816,"Albania","ALB","required"
6781,"Algeria","DZA","not required"
9807,"Andorra","AND","required"
9053,"Angola","AGO","not required"
5853,"Antigua and Barbuda","ATG","not required"
3834,"Argentina","ARG","required"
9288,"Armenia","ARM","not required"
9092,"Australia","AUS","required"
4052,"Austria","AUT","not required"
7391,"Azerbaijan","AZE","not required"
9033,"Bahamas","BHS","not required"
8232,"Bahrain","BHR","required"
8580,"Bangladesh","BGD","not required"
9205,"Barbados","BRB","not required"
9616,"Belarus","BLR","not required"
3919,"Belgium","BEL","not required"
5874,"Belize","BLZ","not required"
9454,"Benin","BEN","required"
7159,"Bhutan","BTN","required"
6281,"Bolivia (Plurinational State of)","BOL","not required"
4078,"Bosnia and Herzegovina","BIH","required"
5843,"Botswana","BWA","required"
6073,"Brazil","BRA","required"
9751,"Brunei Darussalam","BRN","required"
3934,"Bulgaria","BGR","required"
9512,"Burkina Faso","BFA","required"
6342,"Burundi","BDI","not required"
9966,"Cabo Verde (Cape Verde)","CPV","not required"
6166,"Cambodia","KHM","not required"
9538,"Cameroon","CMR","not required"
3909,"Canada","CAN","not required"
9449,"Central African Republic (CAR)","CAF","not required"
8935,"Chad","TCD","not required"
3829,"Chile","CHL","required"
8602,"China (People's Republic of China; PRC)","CHN","not required"
9119,"Chinese Taipei (Taiwan; Republic of China; ROC)","TWN","required"
6068,"Colombia","COL","required"
9771,"Comoros","COM","required"
6115,"Costa Rica","CRI","required"
9533,"Côte d'Ivoire (Ivory Coast)","CIV","not required"
3939,"Croatia","HRV","required"
9705,"Cuba","CUB","not required"
6139,"Curacao","CUW","not required"
9543,"Cyprus","CYP","not required"
3945,"Czechia (Czech Republic)","CZE","required"
NA,"Democratic People's Republic of Korea (DPRK)","PRK","no data"
6522,"Democratic Republic of Congo (DRC)","COD","required"
3914,"Denmark","DNK","not required"
8957,"Djibouti","DJI","not required"
5879,"Dominica","DMA","not required"
9715,"Dominican Republic","DOM","required"
6010,"Ecuador","ECU","required"
8682,"Egypt","EGY","required"
8818,"El Salvador","SLV","required"
9591,"Equatorial Guinea","GNQ","not required"
9475,"Eritrea","ERI","not required"
4002,"Estonia","EST","not required"
9548,"Eswatini (Swaziland)","SWZ","not required"
7061,"Ethiopia","ETH","not required"
6120,"Fiji","FJI","not required"
3997,"Finland","FIN","not required"
3824,"France","FRA","required"
9523,"Gabon","GAB","not required"
9402,"Gambia (Republic of The)","GMB","not required"
5801,"Georgia","GEO","not required"
3819,"Germany","DEU","required"
6337,"Ghana","GHA","not required"
4073,"Greece","GRC","not required"
NA,"Greenland","GRL","no data"
6134,"Grenada","GRD","not required"
8651,"Guatemala","GTM","not required"
9586,"Guinea","GIN","required"
9606,"Guinea Bissau","GNB","not required"
9224,"Guyana","GUY","not required"
9710,"Haiti","HTI","not required"
9792,"Holy See (Vatican City)","VAT","not required"
3814,"Honduras","HND","required"
3992,"Hungary","HUN","required"
3982,"Iceland","ISL","not required"
8488,"India","IND","not required"
6171,"Indonesia","IDN","required"
8791,"Iran (Islamic Republic of)","IRN","not required"
6149,"Iraq","IRQ","required"
3987,"Ireland","IRL","not required"
3809,"Israel","ISR","not required"
2860,"Italy","ITA","required"
5936,"Jamaica","JAM","required"
5989,"Japan","JPN","not required"
8989,"Jordan","JOR","required"
6759,"Kazakhstan","KAZ","required"
3839,"Kenya","KEN","not required"
9350,"Kuwait","KWT","required"
8813,"Kyrgyzstan","KGZ","required"
7066,"Lao People's Democratic Republic (Laos; Lao PDR)","LAO","required"
3950,"Latvia","LVA","required"
9576,"Lebanon","LBN","not required"
9064,"Lesotho","LSO","not required"
6432,"Liberia","LBR","required"
5755,"Libya","LBY","required"
4062,"Liechtenstein","LIE","not required"
4057,"Lithuania","LTU","not required"
4042,"Luxembourg","LUX","not required"
6661,"Madagascar","MDG","not required"
6495,"Malawi","MWI","not required"
9136,"Malaysia","MYS","not required"
9198,"Maldives","MDV","not required"
8889,"Mali","MLI","required"
4068,"Malta","MLT","not required"
9756,"Marshall Islands","MHL","not required"
9485,"Mauritania","MRT","not required"
9776,"Mauritius","MUS","not required"
6094,"Mexico","MEX","required"
9746,"Micronesia (Federated States of Micronesia)","FSM","required"
9802,"Monaco","MCO","not required"
6754,"Mongolia","MNG","required"
8808,"Montenegro","MNE","required"
9730,"Morocco","MAR","not required"
6242,"Mozambique","MOZ","not required"
8591,"Myanmar (Burma)","MMR","not required"
5973,"Namibia","NAM","not required"
9766,"Nauru","NRU","not required"
9283,"Nepal","NPL","not required"
4032,"Netherlands","NLD","not required"
9097,"New Zealand","NZL","not required"
8823,"Nicaragua","NIC","required"
8930,"Niger","NER","not required"
9434,"Nigeria","NGA","not required"
8759,"Niue","NIU","not required"
5734,"North Macedonia (Macedonia; FYROM)","MKD","required"
3924,"Norway","NOR","not required"
8254,"Oman","OMN","required"
4007,"Pakistan","PAK","not required"
6517,"Palau","PLW","not required"
8665,"Panama","PAN","required"
9075,"Papua New Guinea","PNG","not required"
6320,"Paraguay","PRY","required"
6005,"Peru","PER","required"
7098,"Philippines","PHL","required"
2845,"Poland","POL","required"
4027,"Portugal","PRT","not required"
8237,"Qatar","QAT","required"
8397,"Republic of Korea (South Korea; ROK)","KOR","required"
5778,"Republic of Moldova","MDA","required"
9490,"Republic of the Congo","COG","not required"
4022,"Romania","ROU","required"
5902,"Russian Federation","RUS","required"
9480,"Rwanda","RWA","not required"
9229,"Saint Kitts and Nevis (St Kitts and Nevis)","KNA","required"
9720,"Saint Lucia (St Lucia)","LCA","not required"
5941,"Saint Vincent and the Grenadines (St Vincent and the Grenadines)","VCT","required"
9782,"Samoa","WSM","required"
9797,"San Marino","SMR","required"
9787,"São Tomé and Príncipe","STP","not required"
9264,"Saudi Arabia","SAU","required"
9397,"Senegal","SEN","not required"
5552,"Serbia","SRB","required"
9812,"Seychelles","SYC","not required"
9407,"Sierra Leone","SLE","not required"
3844,"Singapore","SGP","required"
3955,"Slovakia","SVK","required"
3960,"Slovenia","SVN","required"
9735,"Solomon Islands","SLB","not required"
9011,"Somalia","SOM","not required"
6776,"South Africa","ZAF","not required"
8994,"South Sudan","SSD","not required"
4012,"Spain","ESP","not required"
9345,"Sri Lanka","LKA","not required"
8461,"Sudan","SDN","required"
9340,"Suriname","SUR","not required"
4017,"Sweden","SWE","not required"
4037,"Switzerland","CHE","not required"
9305,"Syrian Arab Republic (Syria)","SYR","not required"
5796,"Tajikistan","TJK","required"
7112,"Thailand","THA","not required"
9114,"Timor-Leste","TLS","not required"
6437,"Togo","TGO","not required"
9725,"Trinidad and Tobago","TTO","required"
8952,"Tunisia","TUN","required"
7181,"Türkiye (Turkey)","TUR","not required"
8447,"Turkmenistan","TKM","required"
9761,"Tuvalu","TUV","not required"
6232,"Uganda","UGA","required"
5724,"Ukraine","UKR","required"
9335,"United Arab Emirates (UAE)","ARE","required"
4047,"United Kingdom of Great Britain and Northern Ireland (UK)","GBR","not required"
5912,"United Republic of Tanzania","TZA","required"
9022,"United States of America (USA)","USA","required"
6666,"Uruguay","URY","required"
6823,"Uzbekistan","UZB","not required"
9740,"Vanuatu","VUT","not required"
6026,"Venezuela (Bolivarian Republic of)","VEN","required"
6896,"Viet Nam (Vietnam)","VNM","required"
9323,"Yemen","YEM","not required"
8383,"Zambia","ZMB","not required"
6042,"Zimbabwe","ZWE","not required"
